Timestamp,Anomaly_ID,Anomaly_Type,Severity,Status,Source,Alert_Method,Response_Time_ms,Resolution_Time_min,Affected_Services,User_Role,Host_IP,Process_ID,Error_Code,CPU_Usage_Percent,Memory_Usage_MB,Disk_Usage_Percent,Network_In_KB,Network_Out_KB,Login_Attempts,Failed_Transactions,Anomaly_Duration_sec,TimeZone,User_ID,Location,Patch_Level,Service_Type,Transaction_ID,Alert_Count,Retry_Count,Escalation_Level
2025-01-01 00:00:00,1,Storage,Low,Open,Database,SMS,2612,25,18,Service Account,26.173.196.218,53912,8158,66.74,8949,86.56,120898,832459,44,14,43,PST,23536,APAC,4,Cache,195883,40,7,3
2025-01-01 00:01:00,2,Database,Medium,Closed,Server,Email,5375,2046,3,Service Account,2.225.100.164,13586,6030,63.27,58781,44.46,583309,146839,44,13,7146,IST,10030,US,0,API,952949,18,7,0
2025-01-01 00:02:00,3,Network,High,Acknowledged,Cloud,Webhook,7789,3016,3,Admin,223.44.113.237,53855,5537,91.46,11699,36.82,881461,490593,17,13,1588,PST,11907,EU,12,Web,534080,32,6,1
2025-01-01 00:03:00,4,Application,Medium,Open,Database,SMS,361,757,9,Admin,85.218.213.217,30637,1462,34.81,17190,58.97,666187,939623,15,16,1301,PST,32768,APAC,7,Web,452955,36,0,3
2025-01-01 00:04:00,5,Database,Low,Acknowledged,Firewall,SMS,935,1077,4,Service Account,29.40.1.181,11812,9832,57.39,58642,76.22,194067,975740,48,17,4336,PST,26202,APAC,14,Web,694799,39,8,2
2025-01-01 00:05:00,6,Storage,Low,Closed,Server,Email,1734,537,14,Admin,81.160.135.61,70819,4560,95.92,12323,98.83,661576,852501,45,17,211,UTC,49138,APAC,9,API,563908,8,8,0
2025-01-01 00:06:00,7,Storage,Medium,Acknowledged,Database,SMS,3772,663,18,Admin,63.135.68.229,40929,1277,70.85,23453,48.71,881997,301873,15,11,4520,EST,1114,US,4,Web,453238,2,2,3
2025-01-01 00:07:00,8,Security,Medium,Closed,Server,Email,4126,2516,8,User,97.68.101.195,35416,4404,67.21,54043,45.54,601033,84266,27,13,3013,UTC,34855,US,19,Web,498136,17,5,4
2025-01-01 00:08:00,9,Database,High,Closed,Database,SMS,3285,1518,8,Service Account,177.227.138.32,27716,3947,8.14,1233,47.3,170039,169312,9,16,1285,EST,7482,US,0,Cache,395083,11,6,0
2025-01-01 00:09:00,10,Application,High,Acknowledged,Firewall,Email,9502,2497,18,User,48.168.244.44,62117,5253,34.51,9623,50.07,922039,141991,37,10,6333,EST,20746,US,7,Storage,637710,8,4,2
2025-01-01 00:10:00,11,System,Medium,Open,Server,Dashboard,5458,252,5,Service Account,187.117.235.166,32798,1241,35.65,55240,4.61,377142,675508,45,6,6752,EST,47926,LATAM,17,Web,713619,37,6,3
2025-01-01 00:11:00,12,Security,Critical,Open,Router,Webhook,3781,2699,4,User,221.69.150.106,29158,9216,96.01,30495,17.65,646731,560871,5,3,5697,EST,27517,US,12,Web,383434,1,7,4
2025-01-01 00:12:00,13,Database,High,Open,Server,Dashboard,5744,4723,8,Admin,10.175.233.115,62785,4458,74.83,37509,50.6,497777,931241,6,16,6383,CET,26220,LATAM,3,DB,372929,18,2,2
2025-01-01 00:13:00,14,Storage,High,Acknowledged,Endpoint,SMS,6620,2925,10,Admin,34.142.2.92,2753,1118,95.33,10086,89.77,231122,697040,22,17,3224,UTC,7518,LATAM,0,API,645931,14,7,0
2025-01-01 00:14:00,15,Storage,Medium,Open,Router,Webhook,8507,1348,14,Operator,225.35.123.203,64266,657,17.27,15770,94.03,909171,171212,41,11,7007,PST,21941,LATAM,10,Web,140093,26,1,4
2025-01-01 00:15:00,16,System,Medium,Open,Firewall,Email,4781,2280,2,Service Account,126.212.114.105,79320,6072,10.64,32672,59.33,873710,591379,5,7,5869,IST,19278,US,9,DB,547716,32,2,0
2025-01-01 00:16:00,17,Security,Medium,Open,Server,Dashboard,2555,282,18,Operator,234.3.35.141,71740,3769,28.09,38599,31.97,658135,406380,16,15,243,PST,6461,APAC,13,DB,898300,33,6,1
